doc_id,customer_id,age,education,job,balance,duration,complaint,support_response,converted
29,CUST0122,29,secondary,retired,274.53,329,What is the process for converting my existing account to a zero-balance account?,Account or KYC updates require verification (Doc-602). Please ensure you have submitted the latest valid ID proof. We are reviewing your account status and will update you shortly.,1
30,CUST0251,25,tertiary,services,-4105.01,217,I noticed an unknown annual fee deducted from my account. This was not mentioned when I opened the account.,"Based on our fee schedule (Doc-102), unexpected charges may relate to minimum balance rules or international transaction fees. We have raised a ticket to review your specific account charges and process any eligible refund.",0
31,CUST0676,31,tertiary,admin.,32372.19,32,How can I apply for a locker facility at the branch?,"We apologize for the technical difficulties (Doc-305). Please try clearing your app cache or resetting your password using the 'Forgot Password' link. If the issue persists, our technical team has been notified.",0
32,CUST0355,40,primary,technician,-1122.52,21,What is the minimum balance requirement for a premium savings account?,Your loan query has been escalated (Doc-401). Interest rate changes or EMI schedules are governed by the terms in your loan agreement. A representative will contact you within 24 hours with specifics.,0
33,CUST0218,37,secondary,services,13639.03,170,A fixed deposit that matured last week has not been credited to my account.,Account or KYC updates require verification (Doc-602). Please ensure you have submitted the latest valid ID proof. We are reviewing your account status and will update you shortly.,0
34,CUST0582,35,secondary,management,28448.23,102,"I visited the branch three times to update my KYC, but it is still showing as incomplete in the system.",Account or KYC updates require verification (Doc-602). Please ensure you have submitted the latest valid ID proof. We are reviewing your account status and will update you shortly.,0
35,CUST0482,29,secondary,blue-collar,8357.95,112,I submitted all loan documents three weeks ago but have not received any update on my application.,"We apologize for the technical difficulties (Doc-305). Please try clearing your app cache or resetting your password using the 'Forgot Password' link. If the issue persists, our technical team has been notified.",0
36,CUST0147,25,tertiary,student,1601.85,687,"I lost my debit card and reported it, but a replacement card has not arrived after three weeks.","For card security (Doc-204), please block your card immediately via the mobile app if lost or compromised. A replacement card typically takes 7-10 business days. We are checking the specific status of your card.",1
37,CUST0054,47,tertiary,blue-collar,29200.08,257,Two-factor authentication is not working on my Android device after the latest app update.,"We apologize for the technical difficulties (Doc-305). Please try clearing your app cache or resetting your password using the 'Forgot Password' link. If the issue persists, our technical team has been notified.",0
38,CUST0003,48,tertiary,management,2719.39,106,What is the penal interest rate for late credit card payments?,"For card security (Doc-204), please block your card immediately via the mobile app if lost or compromised. A replacement card typically takes 7-10 business days. We are checking the specific status of your card.",0
39,CUST0160,48,tertiary,entrepreneur,28545.24,10,I was charged an unexpected maintenance fee on my savings account without any prior notification.,"Based on our fee schedule (Doc-102), unexpected charges may relate to minimum balance rules or international transaction fees. We have raised a ticket to review your specific account charges and process any eligible refund.",0
40,CUST0375,66,primary,student,2579.79,10,My credit score dropped significantly after a loan was incorrectly marked as delinquent in your records.,Your loan query has been escalated (Doc-401). Interest rate changes or EMI schedules are governed by the terms in your loan agreement. A representative will contact you within 24 hours with specifics.,0
41,CUST0415,44,secondary,entrepreneur,1261.47,230,Do you charge a fee for NEFT transfers done through the branch?,"Based on our fee schedule (Doc-102), unexpected charges may relate to minimum balance rules or international transaction fees. We have raised a ticket to review your specific account charges and process any eligible refund.",0
42,CUST0655,71,tertiary,self-employed,4437.23,363,Can I apply for a loan top-up on my existing home loan?,"We apologize for the technical difficulties (Doc-305). Please try clearing your app cache or resetting your password using the 'Forgot Password' link. If the issue persists, our technical team has been notified.",1
43,CUST0585,42,primary,management,33707.5,245,I received a new card but it was not activated despite following all the steps correctly.,"For card security (Doc-204), please block your card immediately via the mobile app if lost or compromised. A replacement card typically takes 7-10 business days. We are checking the specific status of your card.",0
44,CUST0201,44,secondary,blue-collar,19261.62,104,Does the bank offer health insurance bundled with a savings account?,Account or KYC updates require verification (Doc-602). Please ensure you have submitted the latest valid ID proof. We are reviewing your account status and will update you shortly.,1
45,CUST0103,36,secondary,self-employed,7197.36,10,What should I do if my mobile banking app is not showing updated balance?,"We apologize for the technical difficulties (Doc-305). Please try clearing your app cache or resetting your password using the 'Forgot Password' link. If the issue persists, our technical team has been notified.",0
46,CUST0290,33,primary,technician,30346.23,684,How do I check the status of my loan application?,"We apologize for the technical difficulties (Doc-305). Please try clearing your app cache or resetting your password using the 'Forgot Password' link. If the issue persists, our technical team has been notified.",0
47,CUST0615,69,tertiary,retired,16046.4,858,My credit card was blocked without any warning while I was travelling abroad.,"For card security (Doc-204), please block your card immediately via the mobile app if lost or compromised. A replacement card typically takes 7-10 business days. We are checking the specific status of your card.",0
48,CUST0351,44,secondary,management,1452.89,159,The mobile app shows incorrect balance figures that do not match my passbook.,"We apologize for the technical difficulties (Doc-305). Please try clearing your app cache or resetting your password using the 'Forgot Password' link. If the issue persists, our technical team has been notified.",0
49,CUST0137,31,primary,self-employed,6243.41,14,How can I enable international transactions on my debit card?,"For card security (Doc-204), please block your card immediately via the mobile app if lost or compromised. A replacement card typically takes 7-10 business days. We are checking the specific status of your card.",1
50,CUST0093,32,tertiary,admin.,2387.01,155,The contactless payment feature on my new debit card is not working at any terminal.,"For card security (Doc-204), please block your card immediately via the mobile app if lost or compromised. A replacement card typically takes 7-10 business days. We are checking the specific status of your card.",1
51,CUST0598,28,secondary,entrepreneur,2864.08,445,I cannot view my transaction history beyond the last 30 days in the mobile app.,"We apologize for the technical difficulties (Doc-305). Please try clearing your app cache or resetting your password using the 'Forgot Password' link. If the issue persists, our technical team has been notified.",1
52,CUST0282,48,tertiary,retired,23538.68,227,What happens to my account if I do not maintain the minimum balance?,"We apologize for the technical difficulties (Doc-305). Please try clearing your app cache or resetting your password using the 'Forgot Password' link. If the issue persists, our technical team has been notified.",0
53,CUST0022,37,secondary,entrepreneur,87431.19,254,How can I apply for a locker facility at the branch?,"We apologize for the technical difficulties (Doc-305). Please try clearing your app cache or resetting your password using the 'Forgot Password' link. If the issue persists, our technical team has been notified.",1
54,CUST0432,18,tertiary,student,5642.45,17,"I was not notified when my standing instruction payment failed, causing a delayed bill payment.",Fund transfers can sometimes be delayed due to network issues (Doc-508). We are tracking the transaction reference and will credit the funds back if the transfer failed.,1
55,CUST0252,51,secondary,retired,7178.89,22,A fixed deposit that matured last week has not been credited to my account.,Account or KYC updates require verification (Doc-602). Please ensure you have submitted the latest valid ID proof. We are reviewing your account status and will update you shortly.,0
56,CUST0072,58,tertiary,entrepreneur,2203.29,27,The ATM swallowed my card without dispensing cash and the transaction was marked as successful.,"For card security (Doc-204), please block your card immediately via the mobile app if lost or compromised. A replacement card typically takes 7-10 business days. We are checking the specific status of your card.",0
57,CUST0711,43,tertiary,self-employed,1764.81,469,I am unable to upgrade my savings account to a premium account despite meeting all eligibility criteria.,Your loan query has been escalated (Doc-401). Interest rate changes or EMI schedules are governed by the terms in your loan agreement. A representative will contact you within 24 hours with specifics.,1
58,CUST0395,54,secondary,self-employed,-373.65,149,Can I have more than one savings account at your bank?,Account or KYC updates require verification (Doc-602). Please ensure you have submitted the latest valid ID proof. We are reviewing your account status and will update you shortly.,0
59,CUST0178,57,secondary,blue-collar,172.06,313,How do I change my internet banking password?,"We apologize for the technical difficulties (Doc-305). Please try clearing your app cache or resetting your password using the 'Forgot Password' link. If the issue persists, our technical team has been notified.",1
60,CUST0175,43,secondary,admin.,353.06,24,What is the annual fee for a platinum credit card?,"Based on our fee schedule (Doc-102), unexpected charges may relate to minimum balance rules or international transaction fees. We have raised a ticket to review your specific account charges and process any eligible refund.",0
61,CUST0732,28,primary,self-employed,3388.54,525,I was charged a late payment fee even though I paid before the due date. Please investigate.,"Based on our fee schedule (Doc-102), unexpected charges may relate to minimum balance rules or international transaction fees. We have raised a ticket to review your specific account charges and process any eligible refund.",0
62,CUST0703,32,secondary,blue-collar,1308.42,344,My credit card was blocked without any warning while I was travelling abroad.,"For card security (Doc-204), please block your card immediately via the mobile app if lost or compromised. A replacement card typically takes 7-10 business days. We are checking the specific status of your card.",0
63,CUST0539,52,primary,admin.,3583.71,50,Can you explain the difference between a current account and a savings account?,Account or KYC updates require verification (Doc-602). Please ensure you have submitted the latest valid ID proof. We are reviewing your account status and will update you shortly.,0
64,CUST0687,37,primary,self-employed,839.12,414,What is the interest rate for a savings account?,Account or KYC updates require verification (Doc-602). Please ensure you have submitted the latest valid ID proof. We are reviewing your account status and will update you shortly.,1
65,CUST0268,23,secondary,student,8741.11,61,How long does it take to receive a replacement debit card after reporting it lost?,"For card security (Doc-204), please block your card immediately via the mobile app if lost or compromised. A replacement card typically takes 7-10 business days. We are checking the specific status of your card.",0
66,CUST0577,43,tertiary,retired,993.13,45,Is the processing fee for a personal loan refundable if my application is rejected?,"Based on our fee schedule (Doc-102), unexpected charges may relate to minimum balance rules or international transaction fees. We have raised a ticket to review your specific account charges and process any eligible refund.",1
67,CUST0671,55,tertiary,self-employed,3134.91,61,My account has been frozen due to a KYC mismatch that I have already clarified with the branch.,Account or KYC updates require verification (Doc-602). Please ensure you have submitted the latest valid ID proof. We are reviewing your account status and will update you shortly.,0
68,CUST0003,48,tertiary,management,2719.39,481,What documents are needed to apply for a car loan?,"We apologize for the technical difficulties (Doc-305). Please try clearing your app cache or resetting your password using the 'Forgot Password' link. If the issue persists, our technical team has been notified.",1
69,CUST0325,28,primary,technician,3901.79,494,Scheduled recurring payments through the app were not processed on the specified dates.,"We apologize for the technical difficulties (Doc-305). Please try clearing your app cache or resetting your password using the 'Forgot Password' link. If the issue persists, our technical team has been notified.",1
70,CUST0395,54,secondary,self-employed,-373.65,79,The OTP for online transactions is not being delivered to my registered mobile number.,"We apologize for the technical difficulties (Doc-305). Please try clearing your app cache or resetting your password using the 'Forgot Password' link. If the issue persists, our technical team has been notified.",0
71,CUST0389,51,secondary,technician,2538.25,244,Are there any charges for requesting a physical account statement?,"Based on our fee schedule (Doc-102), unexpected charges may relate to minimum balance rules or international transaction fees. We have raised a ticket to review your specific account charges and process any eligible refund.",0
72,CUST0700,38,secondary,management,9314.08,225,What is the process for converting my existing account to a zero-balance account?,Account or KYC updates require verification (Doc-602). Please ensure you have submitted the latest valid ID proof. We are reviewing your account status and will update you shortly.,0
73,CUST0264,28,secondary,blue-collar,2054.17,328,What is the maximum tenure for a personal loan?,Your loan query has been escalated (Doc-401). Interest rate changes or EMI schedules are governed by the terms in your loan agreement. A representative will contact you within 24 hours with specifics.,1
74,CUST0219,34,tertiary,services,-1223.92,70,What is the processing fee for a home loan?,"Based on our fee schedule (Doc-102), unexpected charges may relate to minimum balance rules or international transaction fees. We have raised a ticket to review your specific account charges and process any eligible refund.",1
75,CUST0635,28,primary,retired,-1433.38,142,Are there any charges for requesting a physical account statement?,"Based on our fee schedule (Doc-102), unexpected charges may relate to minimum balance rules or international transaction fees. We have raised a ticket to review your specific account charges and process any eligible refund.",0
76,CUST0664,33,secondary,student,7135.42,220,How do I check the status of my loan application?,"We apologize for the technical difficulties (Doc-305). Please try clearing your app cache or resetting your password using the 'Forgot Password' link. If the issue persists, our technical team has been notified.",0
77,CUST0713,33,primary,management,12284.37,10,My account was debited twice for the same transaction. I need an immediate refund.,Account or KYC updates require verification (Doc-602). Please ensure you have submitted the latest valid ID proof. We are reviewing your account status and will update you shortly.,1
78,CUST0568,28,tertiary,self-employed,1992.11,94,What happens to my account if I do not maintain the minimum balance?,"We apologize for the technical difficulties (Doc-305). Please try clearing your app cache or resetting your password using the 'Forgot Password' link. If the issue persists, our technical team has been notified.",0
79,CUST0179,37,tertiary,student,2823.39,238,I was charged a late payment fee even though I paid before the due date. Please investigate.,"Based on our fee schedule (Doc-102), unexpected charges may relate to minimum balance rules or international transaction fees. We have raised a ticket to review your specific account charges and process any eligible refund.",1
80,CUST0245,26,secondary,retired,-1521.29,58,Can I increase my debit card daily withdrawal limit?,"For card security (Doc-204), please block your card immediately via the mobile app if lost or compromised. A replacement card typically takes 7-10 business days. We are checking the specific status of your card.",1
81,CUST0034,27,primary,technician,119.21,632,How do I add a nominee to my existing bank account?,Account or KYC updates require verification (Doc-602). Please ensure you have submitted the latest valid ID proof. We are reviewing your account status and will update you shortly.,1
82,CUST0369,41,secondary,blue-collar,5450.72,10,I have sent four emails regarding my issue and none of them have received a response.,"Thank you for reaching out. Based on our policy documents (Doc-999), we are reviewing your query and a customer support agent will follow up with you shortly with a detailed resolution.",0
83,CUST0725,42,tertiary,services,2915.01,634,What should I do if my mobile banking app is not showing updated balance?,"We apologize for the technical difficulties (Doc-305). Please try clearing your app cache or resetting your password using the 'Forgot Password' link. If the issue persists, our technical team has been notified.",1
84,CUST0470,33,tertiary,self-employed,88480.26,48,My registered mobile number and email address were changed without my authorisation.,"Thank you for reaching out. Based on our policy documents (Doc-999), we are reviewing your query and a customer support agent will follow up with you shortly with a detailed resolution.",0
85,CUST0243,46,tertiary,retired,45231.88,10,How do I check the status of my loan application?,"We apologize for the technical difficulties (Doc-305). Please try clearing your app cache or resetting your password using the 'Forgot Password' link. If the issue persists, our technical team has been notified.",1
86,CUST0435,58,tertiary,services,2930.55,69,"My online banking password reset link expired within minutes, making it impossible to regain access.","We apologize for the technical difficulties (Doc-305). Please try clearing your app cache or resetting your password using the 'Forgot Password' link. If the issue persists, our technical team has been notified.",0
87,CUST0318,36,tertiary,services,10390.51,308,The loan repayment schedule provided at disbursement does not match the amounts being debited.,Your loan query has been escalated (Doc-401). Interest rate changes or EMI schedules are governed by the terms in your loan agreement. A representative will contact you within 24 hours with specifics.,1
88,CUST0714,45,secondary,unknown,3746.21,279,My NEFT payment was rejected but the amount was still debited from my account.,Fund transfers can sometimes be delayed due to network issues (Doc-508). We are tracking the transaction reference and will credit the funds back if the transfer failed.,0
89,CUST0121,49,tertiary,student,2375.89,46,My home loan EMI was debited twice this month. I need the extra amount reversed immediately.,Your loan query has been escalated (Doc-401). Interest rate changes or EMI schedules are governed by the terms in your loan agreement. A representative will contact you within 24 hours with specifics.,1
90,CUST0184,46,tertiary,technician,1061.37,43,How do I apply for a new credit card online?,"For card security (Doc-204), please block your card immediately via the mobile app if lost or compromised. A replacement card typically takes 7-10 business days. We are checking the specific status of your card.",0
91,CUST0125,47,unknown,housemaid,52776.7,205,Can I convert my credit card bill into EMI after the purchase?,"For card security (Doc-204), please block your card immediately via the mobile app if lost or compromised. A replacement card typically takes 7-10 business days. We are checking the specific status of your card.",0
92,CUST0424,52,primary,admin.,249.22,122,How do I add a nominee to my existing bank account?,Account or KYC updates require verification (Doc-602). Please ensure you have submitted the latest valid ID proof. We are reviewing your account status and will update you shortly.,0
93,CUST0118,26,primary,retired,4035.1,314,How do I add a nominee to my existing bank account?,Account or KYC updates require verification (Doc-602). Please ensure you have submitted the latest valid ID proof. We are reviewing your account status and will update you shortly.,0
94,CUST0162,49,tertiary,services,37123.25,10,How is the EMI calculated for a personal loan of Rs. 5 lakhs?,Your loan query has been escalated (Doc-401). Interest rate changes or EMI schedules are governed by the terms in your loan agreement. A representative will contact you within 24 hours with specifics.,1
95,CUST0379,66,tertiary,technician,1964.6,188,My card PIN was changed without my consent. I suspect unauthorized access to my account.,"For card security (Doc-204), please block your card immediately via the mobile app if lost or compromised. A replacement card typically takes 7-10 business days. We are checking the specific status of your card.",1
96,CUST0420,41,secondary,services,108729.42,262,How can I check my credit card reward points balance?,"For card security (Doc-204), please block your card immediately via the mobile app if lost or compromised. A replacement card typically takes 7-10 business days. We are checking the specific status of your card.",1
97,CUST0167,50,tertiary,admin.,684.8,900,"I was given incorrect information by a phone banking agent, which led to financial loss.","Thank you for reaching out. Based on our policy documents (Doc-999), we are reviewing your query and a customer support agent will follow up with you shortly with a detailed resolution.",1
98,CUST0304,47,secondary,entrepreneur,1166.12,227,How is the EMI calculated for a personal loan of Rs. 5 lakhs?,Your loan query has been escalated (Doc-401). Interest rate changes or EMI schedules are governed by the terms in your loan agreement. A representative will contact you within 24 hours with specifics.,0
99,CUST0314,50,unknown,unknown,162.82,52,My card PIN was changed without my consent. I suspect unauthorized access to my account.,"For card security (Doc-204), please block your card immediately via the mobile app if lost or compromised. A replacement card typically takes 7-10 business days. We are checking the specific status of your card.",0
100,CUST0168,63,secondary,entrepreneur,1899.21,22,My debit card was declined at a supermarket despite having sufficient balance in my account.,"For card security (Doc-204), please block your card immediately via the mobile app if lost or compromised. A replacement card typically takes 7-10 business days. We are checking the specific status of your card.",1
101,CUST0608,25,secondary,admin.,7279.74,204,The branch manager was unhelpful and refused to escalate my complaint to the regional office.,"Thank you for reaching out. Based on our policy documents (Doc-999), we are reviewing your query and a customer support agent will follow up with you shortly with a detailed resolution.",0
102,CUST0447,44,secondary,retired,2876.2,148,"I was given incorrect information by a phone banking agent, which led to financial loss.","Thank you for reaching out. Based on our policy documents (Doc-999), we are reviewing your query and a customer support agent will follow up with you shortly with a detailed resolution.",0
103,CUST0573,44,secondary,unknown,12351.9,458,I have sent four emails regarding my issue and none of them have received a response.,"Thank you for reaching out. Based on our policy documents (Doc-999), we are reviewing your query and a customer support agent will follow up with you shortly with a detailed resolution.",0
104,CUST0049,44,tertiary,management,40453.98,259,The mobile app shows incorrect balance figures that do not match my passbook.,"We apologize for the technical difficulties (Doc-305). Please try clearing your app cache or resetting your password using the 'Forgot Password' link. If the issue persists, our technical team has been notified.",0
105,CUST0323,30,primary,management,6284.08,142,The nominee details I submitted are not reflecting correctly in my account profile.,Account or KYC updates require verification (Doc-602). Please ensure you have submitted the latest valid ID proof. We are reviewing your account status and will update you shortly.,0
106,CUST0080,18,tertiary,admin.,35226.84,103,I deposited cash at the branch counter but the amount is not reflecting in my account after 48 hours.,Account or KYC updates require verification (Doc-602). Please ensure you have submitted the latest valid ID proof. We are reviewing your account status and will update you shortly.,0
107,CUST0638,41,secondary,housemaid,25651.92,103,The branch manager was unhelpful and refused to escalate my complaint to the regional office.,"Thank you for reaching out. Based on our policy documents (Doc-999), we are reviewing your query and a customer support agent will follow up with you shortly with a detailed resolution.",1
108,CUST0542,26,secondary,services,1965.01,51,The loan repayment schedule provided at disbursement does not match the amounts being debited.,Your loan query has been escalated (Doc-401). Interest rate changes or EMI schedules are governed by the terms in your loan agreement. A representative will contact you within 24 hours with specifics.,1
109,CUST0732,28,primary,self-employed,3388.54,10,How do I check the status of my loan application?,"We apologize for the technical difficulties (Doc-305). Please try clearing your app cache or resetting your password using the 'Forgot Password' link. If the issue persists, our technical team has been notified.",0
110,CUST0690,45,secondary,self-employed,1299.47,171,What are the eligibility criteria for a student loan?,Your loan query has been escalated (Doc-401). Interest rate changes or EMI schedules are governed by the terms in your loan agreement. A representative will contact you within 24 hours with specifics.,0
111,CUST0042,42,tertiary,student,6030.55,47,What is the processing fee for a home loan?,"Based on our fee schedule (Doc-102), unexpected charges may relate to minimum balance rules or international transaction fees. We have raised a ticket to review your specific account charges and process any eligible refund.",1
112,CUST0338,36,tertiary,blue-collar,2110.65,46,I received a phishing SMS appearing to come from your bank. Please investigate the source.,"We apologize for the technical difficulties (Doc-305). Please try clearing your app cache or resetting your password using the 'Forgot Password' link. If the issue persists, our technical team has been notified.",0
113,CUST0375,66,primary,student,2579.79,26,I have been trying to update my address for two months but the request keeps getting rejected.,"Thank you for reaching out. Based on our policy documents (Doc-999), we are reviewing your query and a customer support agent will follow up with you shortly with a detailed resolution.",0
114,CUST0428,48,primary,services,17649.17,42,My personal details were shared with a third party without my consent.,"Thank you for reaching out. Based on our policy documents (Doc-999), we are reviewing your query and a customer support agent will follow up with you shortly with a detailed resolution.",0
115,CUST0170,31,secondary,student,4170.82,10,I cannot view my transaction history beyond the last 30 days in the mobile app.,"We apologize for the technical difficulties (Doc-305). Please try clearing your app cache or resetting your password using the 'Forgot Password' link. If the issue persists, our technical team has been notified.",0
116,CUST0450,27,primary,entrepreneur,10857.46,224,"I lost my debit card and reported it, but a replacement card has not arrived after three weeks.","For card security (Doc-204), please block your card immediately via the mobile app if lost or compromised. A replacement card typically takes 7-10 business days. We are checking the specific status of your card.",0
117,CUST0434,49,secondary,self-employed,6885.31,102,How do I redeem credit card reward points for cashback?,"For card security (Doc-204), please block your card immediately via the mobile app if lost or compromised. A replacement card typically takes 7-10 business days. We are checking the specific status of your card.",0
118,CUST0219,34,tertiary,services,-1223.92,164,Can I have more than one savings account at your bank?,Account or KYC updates require verification (Doc-602). Please ensure you have submitted the latest valid ID proof. We are reviewing your account status and will update you shortly.,0
119,CUST0620,43,secondary,admin.,5974.24,202,Can I schedule future-dated payments through the mobile app?,"We apologize for the technical difficulties (Doc-305). Please try clearing your app cache or resetting your password using the 'Forgot Password' link. If the issue persists, our technical team has been notified.",1
120,CUST0590,30,tertiary,self-employed,10023.79,718,My credit card was blocked without any warning while I was travelling abroad.,"For card security (Doc-204), please block your card immediately via the mobile app if lost or compromised. A replacement card typically takes 7-10 business days. We are checking the specific status of your card.",0
121,CUST0546,30,tertiary,blue-collar,5839.13,14,The ATM withdrawal fee is excessively high compared to other banks. Please review your fee structure.,"Based on our fee schedule (Doc-102), unexpected charges may relate to minimum balance rules or international transaction fees. We have raised a ticket to review your specific account charges and process any eligible refund.",0
122,CUST0250,45,tertiary,blue-collar,4142.23,108,What is the current interest rate for a home loan?,Your loan query has been escalated (Doc-401). Interest rate changes or EMI schedules are governed by the terms in your loan agreement. A representative will contact you within 24 hours with specifics.,0
